Duration,Startdate,Enddate,Startnumber,Start station,Endnumber,End station,Bike number,Membertype
1012,20-09-10 11:27,20-09-10 11:43,31208,M St & New Jersey Ave SE,31108,4th & M St SW,W00742,Member
61,20-09-10 11:41,20-09-10 11:42,31209,1st & N St  SE,31209,1st & N St  SE,W00032,Member
2690,20-09-10 12:05,20-09-10 12:50,31600,5th & K St NW,31100,19th St & Pennsylvania Ave NW,W00993,Member
1406,20-09-10 12:06,20-09-10 12:29,31600,5th & K St NW,31602,Park Rd & Holmead Pl NW,W00344,Member
1413,20-09-10 12:10,20-09-10 12:34,31100,19th St & Pennsylvania Ave NW,31201,15th & P St NW,W00883,Member
982,20-09-10 12:14,20-09-10 12:30,31109,7th & T St NW,31200,Massachusetts Ave & Dupont Circle NW,W00850,Member
930,20-09-10 12:15,20-09-10 12:30,31109,7th & T St NW,31105,14th & Harvard St NW,W00804,Member
1659,20-09-10 12:16,20-09-10 12:44,31111,10th & U St NW,31208,M St & New Jersey Ave SE,W01084,Member
2496,20-09-10 12:18,20-09-10 13:00,31600,5th & K St NW,31601,19th & East Capitol St SE,W00812,Member
1487,20-09-10 12:19,20-09-10 12:44,31703,Minnesota Ave Metro/DOES,31603,1st & M St NE,W00803,Member
1007,20-09-10 12:21,20-09-10 12:38,31500,4th & W St NE,31200,Massachusetts Ave & Dupont Circle NW,W00256,Member
1159,20-09-10 12:26,20-09-10 12:45,31603,1st & M St NE,31603,1st & M St NE,W01023,Member
88,20-09-10 12:31,20-09-10 12:32,31602,Park Rd & Holmead Pl NW,31602,Park Rd & Holmead Pl NW,W00472,Member
202,20-09-10 12:33,20-09-10 12:36,31105,14th & Harvard St NW,31103,16th & Harvard St NW,W00685,Member
1407,20-09-10 12:39,20-09-10 13:02,31101,14th & V St NW,31100,19th St & Pennsylvania Ave NW,W00930,Member
351,20-09-10 12:39,20-09-10 12:45,31103,16th & Harvard St NW,31104,Adams Mill & Columbia Rd NW,W00685,Member
416,20-09-10 12:40,20-09-10 12:47,31105,14th & Harvard St NW,31207,Georgia Ave and Fairmont St NW,W00476,Member
2988,20-09-10 12:41,20-09-10 13:31,31206,19th & E Street NW,31603,1st & M St NE,W00955,Member
636,20-09-10 12:42,20-09-10 12:52,31002,20th & Crystal Dr,31003,15th & Crystal Dr,W01066,Member
509,20-09-10 13:07,20-09-10 13:16,31205,21st & I St NW,31200,Massachusetts Ave & Dupont Circle NW,W00824,Member
638,20-09-10 13:13,20-09-10 13:23,31201,15th & P St NW,31200,Massachusetts Ave & Dupont Circle NW,W00883,Member
763,20-09-10 13:16,20-09-10 13:29,31602,Park Rd & Holmead Pl NW,31109,7th & T St NW,W01029,Member
387,20-09-10 13:20,20-09-10 13:27,31009,27th & Crystal Dr,31009,27th & Crystal Dr,W00821,Member
1409,20-09-10 13:22,20-09-10 13:46,31600,5th & K St NW,31100,19th St & Pennsylvania Ave NW,W00833,Member
1254,20-09-10 13:27,20-09-10 13:48,31002,20th & Crystal Dr,31012,26th & S Clark St,W01123,Member
1238,20-09-10 13:28,20-09-10 13:48,31002,20th & Crystal Dr,31012,26th & S Clark St,W01034,Member
277,20-09-10 13:30,20-09-10 13:34,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W00796,Member
1532,20-09-10 13:34,20-09-10 13:59,31200,Massachusetts Ave & Dupont Circle NW,31600,5th & K St NW,W00883,Member
759,20-09-10 13:40,20-09-10 13:53,31104,Adams Mill & Columbia Rd NW,31202,14th & R St NW,W00796,Member
433,20-09-10 13:55,20-09-10 14:02,31011,23rd & Crystal Dr,31011,23rd & Crystal Dr,W00764,Member
329,20-09-10 14:18,20-09-10 14:24,31100,19th St & Pennsylvania Ave NW,31206,19th & E Street NW,W00868,Member
775,20-09-10 14:23,20-09-10 14:36,31200,Massachusetts Ave & Dupont Circle NW,31602,Park Rd & Holmead Pl NW,W00775,Member
3044,20-09-10 14:28,20-09-10 15:19,31100,19th St & Pennsylvania Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W00993,Casual
1438,20-09-10 14:45,20-09-10 15:09,31000,Eads St & 15th St S,31002,20th & Crystal Dr,W00570,Casual
597,20-09-10 14:49,20-09-10 14:59,31202,14th & R St NW,31200,Massachusetts Ave & Dupont Circle NW,W00796,Member
1492,20-09-10 14:54,20-09-10 15:19,31603,1st & M St NE,31500,4th & W St NE,W01103,Member
956,20-09-10 15:01,20-09-10 15:17,31101,14th & V St NW,31204,20th & E St NW,W01058,Member
1185,20-09-10 15:05,20-09-10 15:25,31212,21st & M St NW,31212,21st & M St NW,W01069,Member
127,20-09-10 15:08,20-09-10 15:10,31603,1st & M St NE,31603,1st & M St NE,?(0x000000004752DD3A),Member
1207,20-09-10 15:24,20-09-10 15:44,31206,19th & E Street NW,31209,1st & N St  SE,W00868,Member
2228,20-09-10 15:27,20-09-10 16:05,31104,Adams Mill & Columbia Rd NW,31209,1st & N St  SE,W00685,Member
3820,20-09-10 15:29,20-09-10 16:33,31200,Massachusetts Ave & Dupont Circle NW,31206,19th & E Street NW,W00977,Casual
1168,20-09-10 15:30,20-09-10 15:49,31100,19th St & Pennsylvania Ave NW,31600,5th & K St NW,W00930,Member
566,20-09-10 15:35,20-09-10 15:45,31101,14th & V St NW,31207,Georgia Ave and Fairmont St NW,W00960,Member
631,20-09-10 15:38,20-09-10 15:49,31111,10th & U St NW,31200,Massachusetts Ave & Dupont Circle NW,W00958,Member
604,20-09-10 15:43,20-09-10 15:53,31100,19th St & Pennsylvania Ave NW,31203,14th & Rhode Island Ave NW,W00563,Casual
1488,20-09-10 15:51,20-09-10 16:16,31208,M St & New Jersey Ave SE,31600,5th & K St NW,W01084,Member
7275,20-09-10 15:57,20-09-10 17:58,31100,19th St & Pennsylvania Ave NW,31103,16th & Harvard St NW,W00976,Member
1959,20-09-10 16:17,20-09-10 16:49,31200,Massachusetts Ave & Dupont Circle NW,31108,4th & M St SW,W00256,Casual
310,20-09-10 16:21,20-09-10 16:26,31100,19th St & Pennsylvania Ave NW,31100,19th St & Pennsylvania Ave NW,W00159,Member
407,20-09-10 16:22,20-09-10 16:29,31111,10th & U St NW,31201,15th & P St NW,W00642,Member
1145,20-09-10 16:23,20-09-10 16:42,31003,15th & Crystal Dr,31009,27th & Crystal Dr,W00999,Casual
730,20-09-10 16:29,20-09-10 16:41,31600,5th & K St NW,31202,14th & R St NW,W01084,Member
907,20-09-10 16:31,20-09-10 16:46,31100,19th St & Pennsylvania Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W00842,Member
1406,20-09-10 16:32,20-09-10 16:56,31600,5th & K St NW,31107,Lamont & Mt Pleasant NW,W00883,Member
381,20-09-10 16:35,20-09-10 16:42,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W00745,Member
548,20-09-10 16:37,20-09-10 16:46,31200,Massachusetts Ave & Dupont Circle NW,31111,10th & U St NW,W00850,Member
557,20-09-10 16:45,20-09-10 16:54,31009,27th & Crystal Dr,31002,20th & Crystal Dr,W01079,Casual
855,20-09-10 16:51,20-09-10 17:05,31111,10th & U St NW,31104,Adams Mill & Columbia Rd NW,?(0x000000007C120F6A),Member
1733,20-09-10 16:55,20-09-10 17:23,31802,Good Hope Rd & MLK Ave SE,31600,5th & K St NW,W00911,Member
4954,20-09-10 16:56,20-09-10 18:18,31200,Massachusetts Ave & Dupont Circle NW,31200,Massachusetts Ave & Dupont Circle NW,W00322,Casual
1283,20-09-10 16:57,20-09-10 17:18,31603,1st & M St NE,31600,5th & K St NW,W00829,Member
385,20-09-10 16:57,20-09-10 17:04,31101,14th & V St NW,31105,14th & Harvard St NW,W00814,Member
635,20-09-10 16:57,20-09-10 17:08,31200,Massachusetts Ave & Dupont Circle NW,31111,10th & U St NW,W00958,Member
4839,20-09-10 16:58,20-09-10 18:18,31200,Massachusetts Ave & Dupont Circle NW,31200,Massachusetts Ave & Dupont Circle NW,W00993,Casual
466,20-09-10 17:01,20-09-10 17:09,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W00824,Member
892,20-09-10 17:16,20-09-10 17:31,31201,15th & P St NW,31600,5th & K St NW,W01113,Casual
451,20-09-10 17:16,20-09-10 17:24,31111,10th & U St NW,31201,15th & P St NW,W00850,Member
315,20-09-10 17:17,20-09-10 17:23,31109,7th & T St NW,31111,10th & U St NW,W00569,Member
1796,20-09-10 17:31,20-09-10 18:01,31208,M St & New Jersey Ave SE,31204,20th & E St NW,W00428,Member
474,20-09-10 17:33,20-09-10 17:41,31111,10th & U St NW,31201,15th & P St NW,W01050,Member
